DRAW NO,PROCESS SEQ,PROCESS,PLAN PRC,WAIT PRC,MATERIAL,DELETE,STATUS1,STATUS2,STATUS3,DESCRIPTION,NOTE 1,NOTE 2,CREATION DATE,CREATION TIME,CREATION OPERATOR,MAINTENANCE DATE,MAINTENANCE TIME,MAINTENANCE OPERATOR
TEST                ,1,EN1,10,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210429,130852,VDM147S1  ,0,0,          
TEST                ,2,KA1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210429,130852,VDM147S1  ,0,0,          
TEST                ,3,GR1,25,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210429,130852,VDM147S1  ,0,0,          
TEST                ,4,GS1,25,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210429,130852,VDM147S1  ,0,0,          
S845568             ,1,EW1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210611,141301,VDM164S1  ,20210717,123310,VDM164S1  
S845568             ,2,GS1,14,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210611,141301,VDM164S1  ,0,0,          
S845568             ,3,EN1,6,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210611,141301,VDM164S1  ,0,0,          
S845568             ,4,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210611,141301,VDM164S1  ,0,0,          
S845568             ,5,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210611,141301,VDM164S1  ,0,0,          
S863516             ,1,EW1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154116,VDM164S1  ,20210717,123347,VDM164S1  
S863516             ,2,GS1,14,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154116,VDM164S1  ,0,0,          
S863516             ,3,EN1,6,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154116,VDM164S1  ,0,0,          
S863516             ,4,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154116,VDM164S1  ,0,0,          
S863516             ,5,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154116,VDM164S1  ,0,0,          
S919322             ,1,EW1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154543,VDM164S1  ,20220909,133919,VDM164S1  
S919322             ,2,GS1,14,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154543,VDM164S1  ,0,0,          
S919322             ,3,EN1,6,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154543,VDM164S1  ,0,0,          
S919322             ,4,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154543,VDM164S1  ,0,0,          
S919322             ,5,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210618,154543,VDM164S1  ,20210705,142012,VDM147S1  
S863515             ,1,EW1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,153716,VDM164S1  ,20210717,123520,VDM164S1  
S863515             ,2,GS1,14,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,153716,VDM164S1  ,0,0,          
S863515             ,3,EN1,6,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,153716,VDM164S1  ,0,0,          
S863515             ,4,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,153716,VDM164S1  ,0,0,          
S863515             ,5,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,153716,VDM164S1  ,0,0,          
S864264             ,1,EW1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154452,VDM164S1  ,20220122,152938,VDM164S1  
S864264             ,2,GS1,14,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154452,VDM164S1  ,0,0,          
S864264             ,3,EN1,6,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154452,VDM164S1  ,0,0,          
S864264             ,4,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154452,VDM164S1  ,0,0,          
S864264             ,5,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154452,VDM164S1  ,0,0,          
R358741             ,1,EW1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154653,VDM164S1  ,20220812,115242,VDM164S1  
R358741             ,2,GS1,14,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154653,VDM164S1  ,0,0,          
R358741             ,3,EN1,6,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154653,VDM164S1  ,0,0,          
R358741             ,4,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154653,VDM164S1  ,0,0,          
R358741             ,5,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,154653,VDM164S1  ,0,0,          
S295432             ,1,AA1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,2,MA1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,3,BJ1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,4,HT1,40,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,5,EW1,7,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,20210802,114004,VDM164S1  
S295432             ,6,GS1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,7,WG1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,8,GS2,15,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,9,EW2,26,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,10,AF1,2,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,11,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
S295432             ,12,GS3,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,155713,VDM164S1  ,0,0,          
R001335             ,1,AA1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,2,MA1,7,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,3,BJ1,8,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,4,HT1,40,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,5,EW1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,6,GS1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,7,WG1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,8,GS2,15,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,9,EW2,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,10,AF1,2,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,11,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
R001335             ,12,GS3,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,160445,VDM164S1  ,0,0,          
S778480             ,1,AA1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,20210701,163943,VDM164S1  
S778480             ,2,MA1,6,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,3,BJ1,23,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,4,HT1,40,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,5,EW1,9,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,6,GS1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,7,WG1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,8,GS2,15,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,9,EW2,26,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,10,AF1,2,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,11,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S778480             ,12,GS3,4,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,163921,VDM164S1  ,0,0,          
S099451             ,1,AA1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,2,MA1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,3,BJ1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,4,HT1,40,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,5,EW1,10,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,6,GS1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,7,WG1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,8,GS2,15,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,9,EW2,26,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,10,AF1,2,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,11,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,0,0,          
S099451             ,12,GS3,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210701,164432,VDM164S1  ,20210716,153431,VDM164S1  
R137401             ,1,GS1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210702,163629,VDM164S1  ,20210716,143402,VDM164S1  
R137401             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210702,163629,VDM164S1  ,0,0,          
R137401             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210702,163629,VDM164S1  ,0,0,          
R102752             ,1,GS1,4,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,115052,VDM164S1  ,20230623,144018,VDM169S1  
R102752             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,115052,VDM164S1  ,0,0,          
R102752             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,115052,VDM164S1  ,0,0,          
S854788             ,1,GS1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,115649,VDM164S1  ,0,0,          
S854788             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,115649,VDM164S1  ,0,0,          
S854788             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,115649,VDM164S1  ,0,0,          
S048358             ,1,GS1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,121157,VDM164S1  ,0,0,          
S048358             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,121157,VDM164S1  ,0,0,          
S048358             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,121157,VDM164S1  ,0,0,          
S854745             ,1,GS1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,121354,VDM164S1  ,0,0,          
S854745             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,121354,VDM164S1  ,0,0,          
S854745             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,121354,VDM164S1  ,0,0,          
R392021             ,1,EW1,12,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,154804,VDM164S1  ,20220915,125039,VDM164S1  
R392021             ,2,GS1,14,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,154804,VDM164S1  ,0,0,          
R392021             ,3,EN1,6,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,154804,VDM164S1  ,0,0,          
R392021             ,4,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,154804,VDM164S1  ,0,0,          
R392021             ,5,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,154804,VDM164S1  ,0,0,          
R137402             ,1,GS1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,155025,VDM164S1  ,20210716,160828,VDM169S1  
R137402             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,155025,VDM164S1  ,0,0,          
R137402             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210716,155025,VDM164S1  ,0,0,          
S920167             ,1,GS1,3,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,104248,VDM169S1  ,0,0,          
S920167             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,104248,VDM169S1  ,0,0,          
S920167             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,104248,VDM169S1  ,0,0,          
S036384             ,1,GS1,4,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,104719,VDM169S1  ,0,0,          
S036384             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,104719,VDM169S1  ,0,0,          
S036384             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,104719,VDM169S1  ,0,0,          
R385476             ,1,GS1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105005,VDM169S1  ,0,0,          
R385476             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105005,VDM169S1  ,0,0,          
R385476             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105005,VDM169S1  ,0,0,          
S871983             ,1,GS1,4,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105221,VDM169S1  ,0,0,          
S871983             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105221,VDM169S1  ,0,0,          
S871983             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105221,VDM169S1  ,0,0,          
S036006             ,1,GS1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105604,VDM169S1  ,0,0,          
S036006             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105604,VDM169S1  ,0,0,          
S036006             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105604,VDM169S1  ,0,0,          
S100172             ,1,GS1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105749,VDM169S1  ,0,0,          
S100172             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105749,VDM169S1  ,0,0,          
S100172             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,105749,VDM169S1  ,0,0,          
S160195             ,1,GS1,2,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,120437,VDM169S1  ,0,0,          
S160195             ,2,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,120437,VDM169S1  ,0,0,          
S160195             ,3,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,120437,VDM169S1  ,0,0,          
S060214             ,1,GS1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,20230821,112711,VDM164S1  
S060214             ,2,ED1,10,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,3,EW1,4,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,4,GS2,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,5,BJ1,2,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,6,LA1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,7,GC1,2,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,8,GS3,4,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,9,BJ2,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,10,GP1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,11,AF1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S060214             ,12,AL1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121129,VDM169S1  ,0,0,          
S937439             ,1,GS1,1,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121442,VDM169S1  ,20230821,112740,VDM164S1  
S937439             ,2,ED1,10,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121442,VDM169S1  ,20220715,113304,VDM169S1  
S937439             ,3,EW1,5,0, , , , , ,                              ,                                                                                                    ,                                                                                                    ,20210717,121442,VDM169S1  ,0,0,          
